ip_1,ip_2,shared_targets_count,jaccard_overlap,timing_similarity,ua_similarity,endpoint_similarity,failure_similarity,composite_score
185.107.45.182,185.193.95.46,3,0.25,0.9999,1.0,1.0,1.0,1.0
172.16.26.139,172.16.30.1,1,1.0,1.0,1.0,1.0,1.0,1.0
172.16.18.26,172.16.5.13,1,1.0,1.0,1.0,1.0,1.0,1.0
172.16.6.198,172.16.8.208,1,0.5,1.0,1.0,1.0,1.0,1.0
185.30.82.148,185.54.8.26,2,0.2857,0.9987,1.0,1.0,1.0,0.9997
185.128.71.14,185.190.82.251,2,0.2,0.9973,1.0,1.0,1.0,0.9995
185.132.134.169,185.24.123.90,2,0.2,0.9968,1.0,1.0,1.0,0.9994
103.147.240.254,103.189.167.34,3,0.2,0.997,1.0,1.0,1.0,0.9994
185.219.125.106,185.72.134.244,2,0.2,0.9963,1.0,1.0,1.0,0.9993
185.149.85.166,185.153.166.86,2,0.2857,0.9948,1.0,1.0,1.0,0.999
185.191.246.23,185.197.210.31,3,0.2,0.9948,1.0,1.0,1.0,0.999
185.219.125.106,185.220.29.20,2,0.2222,0.995,1.0,1.0,1.0,0.999
103.107.14.79,103.83.71.137,4,0.2105,0.9938,1.0,1.0,1.0,0.9988
185.135.125.129,185.54.92.42,3,0.2,0.9942,1.0,1.0,1.0,0.9988
185.120.230.46,185.149.146.18,2,0.2222,0.9934,1.0,1.0,1.0,0.9987
185.123.239.128,185.33.70.93,3,0.2143,0.993,1.0,1.0,1.0,0.9986
185.133.190.107,185.57.128.39,3,0.375,0.991,1.0,1.0,1.0,0.9982
185.138.225.178,185.215.25.154,2,0.2222,0.9888,1.0,1.0,1.0,0.9978
185.235.114.58,185.53.252.21,2,0.2222,0.9889,1.0,1.0,1.0,0.9978
185.44.201.32,185.49.210.34,3,0.2,0.9887,1.0,1.0,1.0,0.9977
185.145.233.177,185.94.116.159,4,0.25,0.9844,1.0,1.0,1.0,0.9969
185.228.31.57,185.57.91.73,3,0.25,0.9837,1.0,1.0,1.0,0.9967
103.187.206.29,103.78.106.238,2,0.2,0.9813,1.0,1.0,1.0,0.9963
103.47.15.168,103.70.183.129,3,0.2143,0.9808,1.0,1.0,1.0,0.9962
185.26.103.159,185.98.33.54,3,0.2143,0.979,1.0,1.0,1.0,0.9958
185.39.28.43,185.61.137.78,2,0.2222,0.9787,1.0,1.0,1.0,0.9957
185.190.82.251,185.231.217.176,2,0.2222,0.9778,1.0,1.0,1.0,0.9956
185.137.238.82,185.42.56.187,2,0.2222,0.9758,1.0,1.0,1.0,0.9952
185.206.157.62,185.94.116.159,4,0.2857,0.9749,1.0,1.0,1.0,0.995
185.23.73.89,185.49.210.34,3,0.2143,0.9751,1.0,1.0,1.0,0.995
185.172.217.254,185.231.217.176,2,0.2222,0.9745,1.0,1.0,1.0,0.9949
185.137.235.20,185.171.16.121,3,0.25,0.9741,1.0,1.0,1.0,0.9948
185.39.132.50,185.66.250.45,2,0.25,0.9741,1.0,1.0,1.0,0.9948
185.102.224.81,185.114.205.173,3,0.2,0.9735,1.0,1.0,1.0,0.9947
185.197.210.31,185.61.61.30,3,0.2,0.9713,1.0,1.0,1.0,0.9943
103.210.251.112,103.241.81.141,3,0.2,0.97,1.0,1.0,1.0,0.994
185.225.30.107,185.237.115.174,2,0.2222,0.9698,1.0,1.0,1.0,0.994
185.34.38.82,185.70.87.52,2,0.25,0.9697,1.0,1.0,1.0,0.9939
185.108.38.96,185.235.141.114,3,0.25,0.9672,1.0,1.0,1.0,0.9934
185.212.43.140,185.25.75.49,3,0.2308,0.9653,1.0,1.0,1.0,0.9931
185.235.141.114,185.39.132.50,2,0.2,0.9647,1.0,1.0,1.0,0.9929
185.115.249.74,185.209.140.250,2,0.2,0.962,1.0,1.0,1.0,0.9924
103.38.172.106,103.69.66.208,3,0.2,0.9595,1.0,1.0,1.0,0.9919
103.39.4.246,103.94.205.235,3,0.2,0.959,1.0,1.0,1.0,0.9918
185.174.53.151,185.237.182.122,3,0.3,0.9576,1.0,1.0,1.0,0.9915
185.219.125.106,185.233.163.121,2,0.2,0.9571,1.0,1.0,1.0,0.9914
103.50.82.18,103.86.24.147,2,0.2,0.9565,1.0,1.0,1.0,0.9913
185.23.73.89,185.53.252.21,2,0.2,0.9563,1.0,1.0,1.0,0.9913
185.117.75.142,185.193.212.137,4,0.2667,0.964,1.0,1.0,0.9889,0.9911
185.168.124.145,185.180.176.122,2,0.2,0.9552,1.0,1.0,1.0,0.991
185.213.252.147,185.55.210.114,2,0.2222,0.9544,1.0,1.0,1.0,0.9909
185.131.223.67,185.26.103.159,3,0.2143,0.9542,1.0,1.0,1.0,0.9908
185.191.246.23,185.56.54.78,3,0.2308,0.9542,1.0,1.0,1.0,0.9908
185.191.246.23,185.195.179.177,2,0.2,0.9516,1.0,1.0,1.0,0.9903
185.213.138.2,185.30.22.84,3,0.25,0.9494,1.0,1.0,1.0,0.9899
185.127.163.234,185.195.179.177,2,0.2222,0.9477,1.0,1.0,1.0,0.9895
185.174.131.242,185.185.63.8,3,0.25,0.9456,1.0,1.0,1.0,0.9891
185.114.99.96,185.235.141.114,2,0.2,0.9447,1.0,1.0,1.0,0.9889
185.174.53.151,185.42.56.187,2,0.2222,0.9447,1.0,1.0,1.0,0.9889
185.125.149.88,185.94.249.242,4,0.2857,0.9441,1.0,1.0,1.0,0.9888
185.123.32.60,185.24.123.90,3,0.2143,0.9436,1.0,1.0,1.0,0.9887
185.152.73.96,185.158.239.34,3,0.2,0.9427,1.0,1.0,1.0,0.9885
185.145.82.155,185.152.73.96,3,0.2143,0.9513,1.0,1.0,0.9861,0.9882
185.145.233.177,185.161.180.194,3,0.2308,0.9403,1.0,1.0,1.0,0.9881
185.233.163.121,185.25.22.138,3,0.3,0.9392,1.0,1.0,1.0,0.9878
185.114.48.53,185.172.217.254,3,0.2143,0.9373,1.0,1.0,1.0,0.9875
103.140.157.244,103.19.189.37,3,0.2,0.9557,1.0,1.0,0.975,0.9874
185.190.82.251,185.237.182.122,3,0.2308,0.9351,1.0,1.0,1.0,0.987
185.120.230.46,185.34.156.165,2,0.2,0.9347,1.0,1.0,1.0,0.9869
103.223.252.189,103.77.38.136,3,0.2,0.9316,1.0,1.0,1.0,0.9863
103.117.2.143,103.65.188.20,4,0.2105,0.9316,1.0,1.0,1.0,0.9863
185.203.219.110,185.223.169.132,3,0.2308,0.9312,1.0,1.0,1.0,0.9862
185.180.176.122,185.234.109.186,2,0.2,0.9295,1.0,1.0,1.0,0.9859
103.241.194.163,103.99.141.82,3,0.2143,0.9286,1.0,1.0,1.0,0.9857
185.50.196.71,185.93.107.46,2,0.2,0.9278,1.0,1.0,1.0,0.9856
185.191.246.23,185.197.208.251,2,0.2,0.928,1.0,1.0,1.0,0.9856
185.123.253.125,185.75.184.50,4,0.2667,0.9264,1.0,1.0,1.0,0.9853
185.216.117.28,185.24.199.124,3,0.2,0.9261,1.0,1.0,1.0,0.9852
185.137.235.20,185.237.115.174,3,0.2143,0.9253,1.0,1.0,1.0,0.9851
185.115.249.74,185.127.163.234,2,0.2,0.9232,1.0,1.0,1.0,0.9846
103.144.64.63,103.157.249.142,3,0.2308,0.9226,1.0,1.0,1.0,0.9845
103.123.239.91,103.63.157.15,5,0.2174,0.9761,1.0,1.0,0.9286,0.9845
185.135.125.129,185.172.217.254,3,0.2143,0.9219,1.0,1.0,1.0,0.9844
185.216.72.51,185.36.96.89,2,0.25,0.9213,1.0,1.0,1.0,0.9843
185.153.35.127,185.163.182.9,3,0.2308,0.9706,1.0,1.0,0.9333,0.9841
185.174.131.242,185.31.17.78,3,0.25,0.9934,1.0,1.0,0.9,0.9837
185.56.102.103,185.67.113.173,3,0.2143,0.9174,1.0,1.0,1.0,0.9835
185.174.53.151,185.96.245.164,3,0.2727,0.992,1.0,1.0,0.9,0.9834
185.23.73.89,185.93.107.46,3,0.25,0.9165,1.0,1.0,1.0,0.9833
185.115.249.74,185.224.78.70,3,0.2727,0.9149,1.0,1.0,1.0,0.983
185.126.249.175,185.135.125.129,3,0.2143,0.9143,1.0,1.0,1.0,0.9829
103.183.103.84,103.95.88.102,3,0.25,0.9132,1.0,1.0,1.0,0.9826
185.141.254.223,185.90.29.179,3,0.2,0.913,1.0,1.0,1.0,0.9826
103.163.154.2,103.79.86.70,4,0.2105,0.9106,1.0,1.0,1.0,0.9821
185.131.223.67,185.47.47.214,3,0.2,0.993,1.0,1.0,0.8889,0.9819
185.205.26.237,185.232.244.135,2,0.2,0.9084,1.0,1.0,1.0,0.9817
185.202.138.74,185.225.30.107,2,0.3333,0.9079,1.0,1.0,1.0,0.9816
185.150.72.38,185.70.87.52,2,0.2857,0.9078,1.0,1.0,1.0,0.9816
185.126.249.175,185.225.30.107,2,0.2222,0.9063,1.0,1.0,1.0,0.9813
185.128.177.196,185.219.125.106,2,0.2,0.9999,1.0,1.0,0.875,0.9812
185.213.252.147,185.97.8.191,2,0.2222,0.9058,1.0,1.0,1.0,0.9812
103.143.77.145,103.213.31.189,4,0.2105,0.9039,1.0,1.0,1.0,0.9808
185.147.60.161,185.202.138.74,2,0.2,0.9032,1.0,1.0,1.0,0.9806
185.228.31.57,185.34.233.171,2,0.2,0.9025,1.0,1.0,1.0,0.9805
185.126.249.175,185.49.210.34,3,0.2143,0.8998,1.0,1.0,1.0,0.98
103.34.235.137,103.59.1.31,2,0.2,0.8989,1.0,1.0,1.0,0.9798
103.107.14.79,103.157.249.142,3,0.2143,0.9919,1.0,1.0,0.875,0.9796
185.187.166.202,185.225.30.107,2,0.2,0.8978,1.0,1.0,1.0,0.9796
185.136.245.43,185.77.7.203,3,0.2143,0.9906,1.0,1.0,0.875,0.9794
185.168.124.145,185.231.78.214,2,0.25,0.8965,1.0,1.0,1.0,0.9793
185.126.36.214,185.147.72.196,2,0.25,0.8958,1.0,1.0,1.0,0.9792
185.190.38.205,185.213.252.147,3,0.2143,0.971,1.0,1.0,0.9,0.9792
185.152.73.96,185.94.136.164,3,0.2143,0.9792,1.0,1.0,0.8889,0.9792
185.117.155.174,185.149.146.18,2,0.2,0.895,1.0,1.0,1.0,0.979
185.180.6.76,185.215.93.181,3,0.2,0.9887,1.0,1.0,0.875,0.979
185.192.27.102,185.30.22.84,2,0.2222,0.8945,1.0,1.0,1.0,0.9789
185.141.89.108,185.93.143.185,3,0.25,0.9357,1.0,1.0,0.9445,0.9788
185.34.38.82,185.61.137.78,2,0.2222,0.8933,1.0,1.0,1.0,0.9787
103.133.32.146,103.30.37.187,4,0.2,0.9514,1.0,1.0,0.9231,0.9787
103.34.235.137,103.77.38.136,2,0.2,0.8906,1.0,1.0,1.0,0.9781
103.171.136.253,103.65.188.20,4,0.1905,0.9724,1.0,1.0,1.0,0.9778
103.154.67.16,103.205.249.4,3,0.1875,0.9986,1.0,1.0,1.0,0.9778
185.161.30.79,185.197.210.31,3,0.2308,0.8876,1.0,1.0,1.0,0.9775
185.190.3.194,185.59.129.57,2,0.2,0.9795,1.0,1.0,0.875,0.9771
185.109.8.24,185.234.109.186,2,0.2,0.8846,1.0,1.0,1.0,0.9769
185.232.49.204,185.52.113.67,2,0.2,0.9919,1.0,1.0,0.8571,0.9769
103.122.189.49,103.16.74.125,3,0.2,0.9465,1.0,1.0,0.9167,0.9768
103.17.125.132,103.37.234.114,3,0.25,0.8824,1.0,1.0,1.0,0.9765
