source,target,relation,weight
CAMPAIGN_02,ep::/api/v1/auth/login,accesses,1.0
CAMPAIGN_02,ua::Chrome-120,uses,1.0
CAMPAIGN_02,103.10.160.196,belongs_to,1.0
CAMPAIGN_02,103.10.186.9,belongs_to,1.0
CAMPAIGN_02,103.100.238.34,belongs_to,1.0
CAMPAIGN_02,103.100.246.251,belongs_to,1.0
CAMPAIGN_02,103.100.91.161,belongs_to,1.0
CAMPAIGN_02,103.101.21.177,belongs_to,1.0
CAMPAIGN_02,103.101.29.221,belongs_to,1.0
CAMPAIGN_02,103.101.86.175,belongs_to,1.0
CAMPAIGN_02,103.102.222.28,belongs_to,1.0
CAMPAIGN_02,103.102.239.10,belongs_to,1.0
CAMPAIGN_02,103.102.247.116,belongs_to,1.0
CAMPAIGN_02,103.103.101.47,belongs_to,1.0
CAMPAIGN_02,103.103.45.166,belongs_to,1.0
CAMPAIGN_02,103.104.142.43,belongs_to,1.0
CAMPAIGN_02,103.104.161.119,belongs_to,1.0
CAMPAIGN_02,103.104.231.141,belongs_to,1.0
CAMPAIGN_02,103.104.29.149,belongs_to,1.0
CAMPAIGN_02,103.105.48.219,belongs_to,1.0
CAMPAIGN_02,103.106.197.141,belongs_to,1.0
CAMPAIGN_02,103.107.100.86,belongs_to,1.0
CAMPAIGN_02,103.107.12.197,belongs_to,1.0
CAMPAIGN_02,103.107.134.246,belongs_to,1.0
CAMPAIGN_02,103.107.14.79,belongs_to,1.0
CAMPAIGN_02,103.107.21.200,belongs_to,1.0
CAMPAIGN_02,103.107.210.18,belongs_to,1.0
CAMPAIGN_02,103.107.84.127,belongs_to,1.0
CAMPAIGN_02,103.108.14.23,belongs_to,1.0
CAMPAIGN_02,103.108.170.49,belongs_to,1.0
CAMPAIGN_02,103.108.229.177,belongs_to,1.0
CAMPAIGN_02,103.108.61.170,belongs_to,1.0
CAMPAIGN_02,103.108.94.120,belongs_to,1.0
CAMPAIGN_02,103.109.126.122,belongs_to,1.0
CAMPAIGN_02,103.109.133.196,belongs_to,1.0
CAMPAIGN_02,103.109.158.148,belongs_to,1.0
CAMPAIGN_02,103.109.48.153,belongs_to,1.0
CAMPAIGN_02,103.109.69.39,belongs_to,1.0
CAMPAIGN_02,103.109.96.35,belongs_to,1.0
CAMPAIGN_02,103.11.107.251,belongs_to,1.0
CAMPAIGN_02,103.11.2.46,belongs_to,1.0
CAMPAIGN_02,103.11.30.176,belongs_to,1.0
CAMPAIGN_02,103.110.106.83,belongs_to,1.0
CAMPAIGN_02,103.110.119.198,belongs_to,1.0
CAMPAIGN_02,103.110.148.1,belongs_to,1.0
CAMPAIGN_02,103.110.191.41,belongs_to,1.0
CAMPAIGN_02,103.110.46.166,belongs_to,1.0
CAMPAIGN_02,103.111.227.78,belongs_to,1.0
CAMPAIGN_02,103.112.122.78,belongs_to,1.0
CAMPAIGN_02,103.112.146.235,belongs_to,1.0
CAMPAIGN_02,103.113.18.154,belongs_to,1.0
CAMPAIGN_02,103.113.210.183,belongs_to,1.0
CAMPAIGN_02,103.113.217.33,belongs_to,1.0
CAMPAIGN_02,103.113.98.112,belongs_to,1.0
CAMPAIGN_02,103.114.114.21,belongs_to,1.0
CAMPAIGN_02,103.115.196.163,belongs_to,1.0
CAMPAIGN_02,103.115.220.134,belongs_to,1.0
CAMPAIGN_02,103.115.247.106,belongs_to,1.0
CAMPAIGN_02,103.115.26.135,belongs_to,1.0
CAMPAIGN_02,103.115.57.191,belongs_to,1.0
CAMPAIGN_02,103.115.62.159,belongs_to,1.0
CAMPAIGN_02,103.115.62.241,belongs_to,1.0
CAMPAIGN_02,103.116.44.179,belongs_to,1.0
CAMPAIGN_02,103.116.46.42,belongs_to,1.0
CAMPAIGN_02,103.116.62.147,belongs_to,1.0
CAMPAIGN_02,103.117.2.143,belongs_to,1.0
CAMPAIGN_02,103.117.51.192,belongs_to,1.0
CAMPAIGN_02,103.117.79.80,belongs_to,1.0
CAMPAIGN_02,103.118.142.210,belongs_to,1.0
CAMPAIGN_02,103.118.94.90,belongs_to,1.0
CAMPAIGN_02,103.119.101.46,belongs_to,1.0
CAMPAIGN_02,103.119.87.208,belongs_to,1.0
CAMPAIGN_02,103.12.173.3,belongs_to,1.0
CAMPAIGN_02,103.12.18.100,belongs_to,1.0
CAMPAIGN_02,103.120.212.186,belongs_to,1.0
CAMPAIGN_02,103.120.233.250,belongs_to,1.0
CAMPAIGN_02,103.120.83.176,belongs_to,1.0
CAMPAIGN_02,103.121.104.217,belongs_to,1.0
CAMPAIGN_02,103.121.184.252,belongs_to,1.0
CAMPAIGN_02,103.122.18.126,belongs_to,1.0
CAMPAIGN_02,103.122.186.164,belongs_to,1.0
CAMPAIGN_02,103.122.189.49,belongs_to,1.0
CAMPAIGN_02,103.122.222.158,belongs_to,1.0
CAMPAIGN_02,103.122.63.237,belongs_to,1.0
CAMPAIGN_02,103.123.13.34,belongs_to,1.0
CAMPAIGN_02,103.123.130.7,belongs_to,1.0
CAMPAIGN_02,103.123.239.91,belongs_to,1.0
CAMPAIGN_02,103.123.46.79,belongs_to,1.0
CAMPAIGN_02,103.124.193.153,belongs_to,1.0
CAMPAIGN_02,103.124.246.102,belongs_to,1.0
CAMPAIGN_02,103.124.51.53,belongs_to,1.0
CAMPAIGN_02,103.124.74.161,belongs_to,1.0
CAMPAIGN_02,103.124.95.207,belongs_to,1.0
CAMPAIGN_02,103.124.98.174,belongs_to,1.0
CAMPAIGN_02,103.125.137.75,belongs_to,1.0
CAMPAIGN_02,103.125.7.46,belongs_to,1.0
CAMPAIGN_02,103.125.99.91,belongs_to,1.0
CAMPAIGN_02,103.126.152.230,belongs_to,1.0
CAMPAIGN_02,103.126.157.44,belongs_to,1.0
CAMPAIGN_02,103.126.192.149,belongs_to,1.0
CAMPAIGN_02,103.126.212.225,belongs_to,1.0
CAMPAIGN_02,103.126.237.71,belongs_to,1.0
CAMPAIGN_02,103.127.144.238,belongs_to,1.0
CAMPAIGN_02,103.127.185.50,belongs_to,1.0
CAMPAIGN_02,103.127.241.174,belongs_to,1.0
CAMPAIGN_02,103.127.92.40,belongs_to,1.0
CAMPAIGN_02,103.128.103.152,belongs_to,1.0
CAMPAIGN_02,103.128.198.36,belongs_to,1.0
CAMPAIGN_02,103.128.43.109,belongs_to,1.0
CAMPAIGN_02,103.128.72.4,belongs_to,1.0
CAMPAIGN_02,103.129.118.108,belongs_to,1.0
CAMPAIGN_02,103.129.146.34,belongs_to,1.0
CAMPAIGN_02,103.129.168.242,belongs_to,1.0
CAMPAIGN_02,103.13.45.162,belongs_to,1.0
CAMPAIGN_02,103.130.117.132,belongs_to,1.0
CAMPAIGN_02,103.130.150.125,belongs_to,1.0
CAMPAIGN_02,103.130.183.167,belongs_to,1.0
CAMPAIGN_02,103.130.188.197,belongs_to,1.0
CAMPAIGN_02,103.130.233.236,belongs_to,1.0
CAMPAIGN_02,103.130.35.32,belongs_to,1.0
CAMPAIGN_02,103.131.147.191,belongs_to,1.0
CAMPAIGN_02,103.131.178.33,belongs_to,1.0
CAMPAIGN_02,103.131.192.243,belongs_to,1.0
CAMPAIGN_02,103.131.29.90,belongs_to,1.0
CAMPAIGN_02,103.132.119.217,belongs_to,1.0
CAMPAIGN_02,103.132.235.122,belongs_to,1.0
CAMPAIGN_02,103.133.160.187,belongs_to,1.0
CAMPAIGN_02,103.133.247.177,belongs_to,1.0
CAMPAIGN_02,103.133.32.146,belongs_to,1.0
CAMPAIGN_02,103.133.45.125,belongs_to,1.0
