node_id,node_type,label,risk_score,classification,ip_count,total_events,targets_count,primary_ua,primary_endpoint,attempts,failure_ratio,country,user_agent
CAMPAIGN_02,campaign,Campaign CAMPAIGN_02,93.1,CREDENTIAL_STUFFING,800.0,7979.0,400.0,Chrome-120,/api/v1/auth/login,,,,
CAMPAIGN_01,campaign,Campaign CAMPAIGN_01,81.8,CREDENTIAL_STUFFING,250.0,1794.0,147.0,HeadlessChrome-121,/login,,,,
CLUSTER_00,campaign,Campaign CLUSTER_00,43.7,LOW_RISK,66.0,66.0,59.0,Chrome-122,/login,,,,
ep::/api/v1/auth/login,endpoint,/api/v1/auth/login,,,,,,,,,,,
ua::Chrome-120,user_agent,Chrome-120,,,,,,,,,,,
ep::/login,endpoint,/login,,,,,,,,,,,
ua::HeadlessChrome-121,user_agent,HeadlessChrome-121,,,,,,,,,,,
ua::Chrome-122,user_agent,Chrome-122,,,,,,,,,,,
103.10.160.196,ip,103.10.160.196,,,,,,,,11.0,0.9091,NG,Chrome-120
103.10.186.9,ip,103.10.186.9,,,,,,,,8.0,1.0,CN,Chrome-120
103.100.238.34,ip,103.100.238.34,,,,,,,,13.0,1.0,NG,Chrome-120
103.100.246.251,ip,103.100.246.251,,,,,,,,11.0,0.9091,ID,Chrome-120
103.100.91.161,ip,103.100.91.161,,,,,,,,11.0,1.0,ID,Chrome-120
103.101.21.177,ip,103.101.21.177,,,,,,,,6.0,1.0,US,Chrome-120
103.101.29.221,ip,103.101.29.221,,,,,,,,9.0,1.0,RU,Chrome-120
103.101.86.175,ip,103.101.86.175,,,,,,,,13.0,1.0,US,Chrome-120
103.102.222.28,ip,103.102.222.28,,,,,,,,7.0,1.0,CN,Chrome-120
103.102.239.10,ip,103.102.239.10,,,,,,,,13.0,0.9231,US,Chrome-120
103.102.247.116,ip,103.102.247.116,,,,,,,,14.0,0.9286,RO,Chrome-120
103.103.101.47,ip,103.103.101.47,,,,,,,,7.0,1.0,ID,Chrome-120
103.103.45.166,ip,103.103.45.166,,,,,,,,10.0,0.9,BR,Chrome-120
103.104.142.43,ip,103.104.142.43,,,,,,,,6.0,1.0,IN,Chrome-120
103.104.161.119,ip,103.104.161.119,,,,,,,,14.0,0.9286,CN,Chrome-120
103.104.231.141,ip,103.104.231.141,,,,,,,,7.0,1.0,VN,Chrome-120
103.104.29.149,ip,103.104.29.149,,,,,,,,6.0,1.0,NG,Chrome-120
103.105.48.219,ip,103.105.48.219,,,,,,,,13.0,1.0,RU,Chrome-120
103.106.197.141,ip,103.106.197.141,,,,,,,,6.0,1.0,ID,Chrome-120
103.107.100.86,ip,103.107.100.86,,,,,,,,9.0,0.8889,RU,Chrome-120
103.107.12.197,ip,103.107.12.197,,,,,,,,8.0,1.0,IN,Chrome-120
103.107.134.246,ip,103.107.134.246,,,,,,,,10.0,1.0,US,Chrome-120
103.107.14.79,ip,103.107.14.79,,,,,,,,9.0,1.0,NG,Chrome-120
103.107.21.200,ip,103.107.21.200,,,,,,,,7.0,1.0,IN,Chrome-120
103.107.210.18,ip,103.107.210.18,,,,,,,,13.0,0.9231,RO,Chrome-120
103.107.84.127,ip,103.107.84.127,,,,,,,,14.0,1.0,DE,Chrome-120
103.108.14.23,ip,103.108.14.23,,,,,,,,6.0,0.8333,IN,Chrome-120
103.108.170.49,ip,103.108.170.49,,,,,,,,14.0,1.0,US,Chrome-120
103.108.229.177,ip,103.108.229.177,,,,,,,,13.0,1.0,RO,Chrome-120
103.108.61.170,ip,103.108.61.170,,,,,,,,9.0,1.0,NG,Chrome-120
103.108.94.120,ip,103.108.94.120,,,,,,,,9.0,1.0,US,Chrome-120
103.109.126.122,ip,103.109.126.122,,,,,,,,7.0,1.0,NG,Chrome-120
103.109.133.196,ip,103.109.133.196,,,,,,,,9.0,0.7778,DE,Chrome-120
103.109.158.148,ip,103.109.158.148,,,,,,,,9.0,1.0,CN,Chrome-120
103.109.48.153,ip,103.109.48.153,,,,,,,,11.0,1.0,RU,Chrome-120
103.109.69.39,ip,103.109.69.39,,,,,,,,7.0,0.7143,CN,Chrome-120
103.109.96.35,ip,103.109.96.35,,,,,,,,8.0,1.0,VN,Chrome-120
103.11.107.251,ip,103.11.107.251,,,,,,,,13.0,1.0,CN,Chrome-120
103.11.2.46,ip,103.11.2.46,,,,,,,,9.0,1.0,US,Chrome-120
103.11.30.176,ip,103.11.30.176,,,,,,,,14.0,1.0,US,Chrome-120
103.110.106.83,ip,103.110.106.83,,,,,,,,7.0,1.0,DE,Chrome-120
103.110.119.198,ip,103.110.119.198,,,,,,,,13.0,1.0,ID,Chrome-120
103.110.148.1,ip,103.110.148.1,,,,,,,,10.0,0.8,RO,Chrome-120
103.110.191.41,ip,103.110.191.41,,,,,,,,8.0,1.0,RO,Chrome-120
103.110.46.166,ip,103.110.46.166,,,,,,,,13.0,0.9231,NG,Chrome-120
103.111.227.78,ip,103.111.227.78,,,,,,,,6.0,1.0,CN,Chrome-120
103.112.122.78,ip,103.112.122.78,,,,,,,,11.0,1.0,RO,Chrome-120
103.112.146.235,ip,103.112.146.235,,,,,,,,10.0,1.0,IN,Chrome-120
103.113.18.154,ip,103.113.18.154,,,,,,,,8.0,1.0,CN,Chrome-120
103.113.210.183,ip,103.113.210.183,,,,,,,,14.0,1.0,RU,Chrome-120
103.113.217.33,ip,103.113.217.33,,,,,,,,6.0,1.0,CN,Chrome-120
103.113.98.112,ip,103.113.98.112,,,,,,,,7.0,0.8571,UA,Chrome-120
