ip_address,correlated_partners_count,mean_correlation_score,max_correlation_score,is_correlated_attacker
103.10.160.196,188,0.7167,0.8292,1
103.10.186.9,138,0.732,0.937,1
103.100.238.34,223,0.7196,0.9208,1
103.100.246.251,172,0.7184,0.8664,1
103.100.91.161,172,0.7303,0.8959,1
103.101.21.177,128,0.7517,0.8384,1
103.101.29.221,177,0.746,0.9406,1
103.101.86.175,214,0.7219,0.8613,1
103.102.222.28,123,0.7452,0.9098,1
103.102.239.10,198,0.7237,0.824,1
103.102.247.116,227,0.7174,0.8399,1
103.103.101.47,138,0.754,0.9415,1
103.103.45.166,210,0.7293,0.9215,1
103.104.142.43,120,0.7464,0.8972,1
103.104.161.119,221,0.7203,0.8967,1
103.104.231.141,131,0.7544,0.9635,1
103.104.29.149,99,0.7602,0.9718,1
103.105.48.219,233,0.725,0.9148,1
103.106.197.141,121,0.7587,0.9386,1
103.107.100.86,170,0.7325,0.865,1
103.107.12.197,138,0.7471,0.8881,1
103.107.134.246,180,0.7273,0.885,1
103.107.14.79,170,0.7404,0.9988,1
103.107.21.200,135,0.753,0.9467,1
103.107.210.18,220,0.7205,0.876,1
103.107.84.127,242,0.7191,0.8881,1
103.108.14.23,104,0.7219,0.8327,1
103.108.170.49,229,0.7211,0.8726,1
103.108.229.177,231,0.7229,0.9244,1
103.108.61.170,159,0.7375,0.9152,1
103.108.94.120,163,0.7356,0.8829,1
103.109.126.122,125,0.7321,0.9268,1
103.109.133.196,160,0.7151,0.9644,1
103.109.158.148,166,0.7384,0.8818,1
103.109.48.153,202,0.7203,0.9075,1
103.109.69.39,132,0.7176,0.9182,1
103.109.96.35,132,0.7421,0.9161,1
103.11.107.251,217,0.7224,0.8556,1
103.11.2.46,145,0.7447,0.8927,1
103.11.30.176,220,0.7255,0.9009,1
103.110.106.83,133,0.754,0.8918,1
103.110.119.198,221,0.7243,0.8675,1
103.110.148.1,169,0.7118,0.8702,1
103.110.191.41,154,0.7437,0.8987,1
103.110.46.166,233,0.7123,0.8367,1
103.111.227.78,114,0.762,0.9321,1
103.112.122.78,180,0.7263,0.8816,1
103.112.146.235,193,0.7355,0.9335,1
103.113.18.154,140,0.7447,0.9208,1
103.113.210.183,232,0.7234,0.8622,1
103.113.217.33,108,0.7529,0.8901,1
103.113.98.112,121,0.7398,0.9497,1
103.114.114.21,207,0.7273,0.8535,1
103.115.196.163,199,0.7277,0.9461,1
103.115.220.134,252,0.7207,0.8556,1
103.115.247.106,140,0.7412,0.9203,1
103.115.26.135,178,0.7324,0.9117,1
103.115.57.191,165,0.7329,0.9403,1
103.115.62.159,226,0.7252,0.8989,1
103.115.62.241,109,0.7303,0.97,1
103.116.44.179,112,0.748,0.8792,1
103.116.46.42,168,0.7427,0.976,1
103.116.62.147,178,0.7314,0.9062,1
103.117.2.143,207,0.7278,0.9863,1
103.117.51.192,171,0.7355,0.9094,1
103.117.79.80,160,0.7314,0.9124,1
103.118.142.210,101,0.6898,0.9246,1
103.118.94.90,139,0.7493,0.9127,1
103.119.101.46,155,0.7318,0.8871,1
103.119.87.208,175,0.7267,0.8888,1
103.12.173.3,196,0.7351,0.934,1
103.12.18.100,177,0.7195,0.8931,1
103.120.212.186,253,0.7271,0.9062,1
103.120.233.250,212,0.7247,0.9677,1
103.120.83.176,196,0.725,0.847,1
103.121.104.217,191,0.7319,0.9285,1
103.121.184.252,89,0.7254,0.9075,1
103.122.18.126,154,0.7415,0.9474,1
103.122.186.164,118,0.7529,0.8216,1
103.122.189.49,214,0.724,0.9768,1
103.122.222.158,181,0.7129,0.851,1
103.122.63.237,111,0.7505,0.9521,1
103.123.13.34,231,0.7232,0.8882,1
103.123.130.7,172,0.7421,0.9259,1
103.123.239.91,263,0.7235,0.9845,1
103.123.46.79,114,0.7623,0.9553,1
103.124.193.153,218,0.7192,0.844,1
103.124.246.102,255,0.7226,0.8876,1
103.124.51.53,113,0.7358,0.9203,1
103.124.74.161,232,0.7197,0.8438,1
103.124.95.207,200,0.7196,0.8358,1
103.124.98.174,170,0.7378,0.9283,1
103.125.137.75,110,0.7563,0.882,1
103.125.7.46,147,0.7379,0.876,1
103.125.99.91,122,0.7279,0.8753,1
103.126.152.230,241,0.7196,0.8826,1
103.126.157.44,212,0.729,0.9647,1
103.126.192.149,121,0.7265,0.9587,1
103.126.212.225,204,0.7313,0.893,1
103.126.237.71,253,0.7057,0.9038,1
103.127.144.238,231,0.7125,0.8451,1
103.127.185.50,267,0.7152,0.8842,1
103.127.241.174,191,0.7334,0.8983,1
103.127.92.40,190,0.7317,0.8795,1
103.128.103.152,99,0.7533,0.9587,1
103.128.198.36,218,0.7296,0.9165,1
103.128.43.109,211,0.7265,0.8645,1
103.128.72.4,227,0.7303,0.9621,1
103.129.118.108,253,0.7186,0.8645,1
103.129.146.34,241,0.7113,0.9231,1
103.129.168.242,96,0.7169,0.9386,1
103.13.45.162,200,0.7309,0.9355,1
103.130.117.132,222,0.7222,0.8763,1
103.130.150.125,204,0.7296,0.9633,1
103.130.183.167,188,0.7273,0.8899,1
103.130.188.197,229,0.7151,0.8866,1
103.130.233.236,151,0.7453,0.9393,1
103.130.35.32,109,0.7538,0.9304,1
103.131.147.191,160,0.7336,0.8803,1
103.131.178.33,190,0.7306,0.8485,1
103.131.192.243,207,0.7374,0.9043,1
103.131.29.90,141,0.7372,0.9176,1
103.132.119.217,180,0.7276,0.9703,1
103.132.235.122,192,0.7306,0.8759,1
103.133.160.187,147,0.723,0.9587,1
103.133.247.177,194,0.7283,0.8685,1
103.133.32.146,226,0.7235,0.9787,1
103.133.45.125,167,0.7366,0.8562,1
103.133.99.17,153,0.7385,0.9262,1
103.134.169.112,171,0.7292,0.896,1
103.134.222.153,240,0.7228,0.8767,1
103.134.30.152,133,0.76,0.9392,1
103.134.8.17,253,0.7165,0.884,1
103.135.168.5,192,0.7275,0.8768,1
103.135.177.84,176,0.7367,0.9047,1
103.135.221.56,174,0.7346,0.9392,1
103.135.28.37,164,0.7359,0.8657,1
103.136.62.22,206,0.7311,0.8889,1
103.137.127.207,244,0.719,0.8796,1
103.137.217.188,184,0.723,0.8632,1
103.137.219.128,113,0.754,0.9376,1
103.138.112.199,166,0.739,0.9055,1
103.138.217.155,204,0.725,0.9215,1
103.138.40.49,143,0.7226,0.9755,1
103.138.71.208,209,0.7263,0.9642,1
103.139.57.119,203,0.7286,0.8642,1
103.139.87.169,190,0.7287,0.9194,1
103.139.9.109,224,0.7245,0.9381,1
103.14.10.87,193,0.7236,0.8738,1
103.14.75.223,156,0.7314,0.8871,1
103.14.89.176,185,0.738,0.8843,1
103.140.157.244,173,0.7301,0.9874,1
103.140.251.182,221,0.7172,0.8759,1
103.141.182.241,203,0.7378,0.9349,1
103.142.138.102,194,0.7183,0.8936,1
103.142.21.134,244,0.7183,0.8381,1
103.142.35.228,204,0.7259,0.8853,1
103.143.187.162,135,0.7455,0.9519,1
103.143.197.169,187,0.7243,0.8737,1
103.143.28.116,130,0.7433,0.9344,1
103.143.77.145,170,0.7361,0.9808,1
103.144.11.82,228,0.7209,0.8685,1
103.144.12.66,143,0.7474,0.9482,1
103.144.148.160,157,0.7378,0.9439,1
103.144.165.225,217,0.7238,0.9436,1
103.144.182.99,161,0.7087,0.8444,1
103.144.233.35,193,0.7275,0.8959,1
103.144.54.179,114,0.7457,0.9718,1
103.144.64.63,142,0.7425,0.9845,1
103.145.101.123,202,0.7146,0.8708,1
103.145.251.25,115,0.7572,0.9544,1
103.146.200.3,236,0.72,0.867,1
103.146.23.48,124,0.749,0.8735,1
103.146.248.214,240,0.7211,0.934,1
103.147.240.254,173,0.7378,0.9994,1
103.148.145.39,217,0.7243,0.8883,1
103.148.197.111,185,0.729,0.8673,1
